2023-05-19 11:05:756 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (d1b0934f2fccfef61a12e6a532a1fc69)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:178 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (d1b0934f2fccfef61a12e6a532a1fc69)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 11:05:879 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (d1b0934f2fccfef61a12e6a532a1fc69)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 11:05:959 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (d1b0934f2fccfef61a12e6a532a1fc69)] -> xpath: //select[@id='makes']]
2023-05-19 11:05:816 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (914a831a56d253cb6b741aaa664c8900)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:662 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (914a831a56d253cb6b741aaa664c8900)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 11:05:29 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (febd657cc5db6e5bf2e0e51e2a8127cc)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:197 INFO  Homepage :48 - Click on Find a dealer : [[ChromeDriver: chrome on WINDOWS (febd657cc5db6e5bf2e0e51e2a8127cc)] -> xpath: //a[contains(text(),'Find a Dealer')]]
2023-05-19 11:05:52 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (9843777b94a2b02fd5cae50e445c8d1a)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:677 INFO  Homepage :44 - Click on Used cars : [[ChromeDriver: chrome on WINDOWS (9843777b94a2b02fd5cae50e445c8d1a)] -> xpath: //a[normalize-space()='Used']]
2023-05-19 11:05:78 INFO  UsedCarPage :23 - Verify text: [[ChromeDriver: chrome on WINDOWS (9843777b94a2b02fd5cae50e445c8d1a)] -> xpath: //h1[normalize-space()='Used Cars For Sale']]
2023-05-19 11:05:174 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (4436072e22316598769225ae8c28640d)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:567 INFO  Homepage :44 - Click on Used cars : [[ChromeDriver: chrome on WINDOWS (4436072e22316598769225ae8c28640d)] -> xpath: //a[normalize-space()='Used']]
2023-05-19 11:05:443 INFO  UsedCarPage :23 - Verify text: [[ChromeDriver: chrome on WINDOWS (4436072e22316598769225ae8c28640d)] -> xpath: //h1[normalize-space()='Used Cars For Sale']]
2023-05-19 11:05:763 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (e1170aff58107b10d3177479cb5653d2)] -> xpath: //a[contains(text(),'buy + sell')]]
